Timestamp,Request/sec of h4,Request/sec of h5,Request/sec of h6,Request/sec of h7
1715759757.305671,56.52,46.86,52.45,53.01
1715759769.0906808,54.93,56.79,59.70,43.82
1715759780.8522305,61.54,58.1,58.97,56.71
1715759792.599839,56.32,53.32,55.09,51.77
1715759804.3689833,48.35,50.66,55.12,52.56
1715759815.9037254,58.73,55.11,56.01,55.02
1715759827.688211,50.82,50.22,69.20,68.41
1715759839.4726148,56.95,54.38,56.57,54.43
1715759851.2535524,57.23,54.36,57.61,53.93
1715759863.0480833,58.30,55.66,55.18,56.69
1715759874.8219073,59.12,56.78,58.29,55.87
1715759886.5901446,57.91,54.77,56.44,54.22
1715759898.3570096,56.33,53.89,54.65,53.11
1715759910.1207435,60.02,57.09,57.61,57.92
1715759921.8931012,55.76,52.88,53.71,52.33
1715759933.6569874,58.45,55.67,56.92,55.33
1715759945.4313004,59.78,56.43,58.11,56.89
1715759957.1998887,57.22,54.91,56.07,54.56
1715759968.9637916,60.01,57.67,57.79,58.12
